Letra;Código de actividad;Descripción;2004_1;2004_2;2004_3;2004_4;2005_1;2005_2;2005_3;2005_4;2006_1;2006_2;2006_3;2006_4;2007_1;2007_2;2007_3;2007_4;2008_1;2008_2;2008_3;2008_4;2009_1;2009_2;2009_3;2009_4;2010_1;2010_2;2010_3;2010_4;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4;2021_1;2021_2;2021_3;2021_4;2022_1;2022_2;2022_3;2022_4;2023_1;2023_2;2023_3;2023_4;2024_1;2024_2;2024_3;2024_4
K;71,72,73,74;Resto;285.846,70;294.207,30;319.289,00;336.962,60;359.716,10;377.178,00;414.006,80;449.036,60;411.361,10;414.430,20;428.188,10;441.311,00;430.093,00;436.971,90;491.474,40;497.400,90;491.686,00;506.608,10;499.940,80;501.528,20;478.774,80;463.323,60;525.551,60;512.640,40;504.279,80;536.240,40;531.054,80;586.509,70;568.941,90;582.699,80;585.874,70;628.841,70;571.270,20;564.602,90;572.011,00;584.710,60;597.304,30;591.060,40;636.673,10;581.218,20;574.762,60;576.138,30;584.922,20;582.488,10;605.029,90;599.103,50;690.011,40;706.838,40;647.467,70;618.152,80;625.455,10;633.604,00;640.377,10;627.995,00;631.910,70;640.906,30;631.064,10;624.502,60;609.157,30;597.516,00;610.638,90;615.295,40;604.924,10;607.358,20;611.485,60;579.101,60;568.836,10;572.646,00;561.639,60;558.147,30;570.741,00;558.570,60;600.373,40;607.040,70;615.295,40;636.461,40;625.878,40;655.299,20;627.995,00;692.022,20;615.987,10;628.382,10;582.655,40;643.688,40
L;;Administración gubernamental;430.296,50;425.981,20;439.600,90;453.835,00;465.041,90;488.317,80;516.830,50;526.575,80;526.308,30;522.473,60;541.394,50;547.448,80;551.065,50;537.237,70;563.907,40;564.734,80;574.133,30;580.247,10;589.284,00;607.209,10;607.526,10;603.622,10;605.157,90;618.653,80;616.899,90;614.155,20;610.508,70;617.657,90;629.672,40;630.762,40;646.101,30;655.395,80;653.453,60;657.323,00;658.541,80;684.185,90;685.161,90;693.534,90;714.556,50;733.259,50;722.647,10;729.092,80;741.820,70;758.056,40;747.840,30;751.526,40;750.451,30;766.161,80;762.832,40;767.464,80;779.736,90;789.140,40;789.289,00;791.345,10;803.374,50;816.067,70;803.845,10;811.019,10;816.855,40;825.931,90;824.212,80;827.770,00;829.345,50;837.381,60;827.215,10;832.729,40;828.949,20;833.071,30;826.610,70;830.995,40;871.562,20;867.019,00;855.073,90;861.296,60;850.030,30;863.397,30;861.702,90;867.905,80;885.199,80;894.311,70;868.288,50;843.201,20;862.719,50;881.424,50
M;;Enseñanza;343.101,90;378.478,90;381.425,70;384.025,80;389.902,50;457.413,80;480.761,60;470.109,50;460.587,40;478.955,50;507.090,60;497.537,00;456.625,90;491.893,40;526.643,90;504.139,50;475.908,80;531.563,10;528.743,80;527.610,70;498.114,20;528.093,00;551.613,20;554.537,50;537.045,80;551.802,40;512.670,90;519.556,00;519.086,70;532.991,70;519.178,20;524.577,10;517.190,80;528.118,10;526.969,10;524.581,70;516.354,60;527.149,00;541.945,00;553.642,00;541.288,50;525.414,70;527.873,40;547.092,40;531.464,30;541.390,50;541.502,10;542.164,40;528.166,40;546.390,50;555.640,00;561.542,60;546.861,40;563.669,10;560.539,80;567.075,50;552.771,20;570.718,50;571.760,10;574.014,90;553.422,70;564.798,50;582.527,80;580.258,70;553.735,30;529.289,60;495.628,20;477.205,90;475.792,60;520.627,30;554.281,70;574.774,90;560.285,10;578.827,60;588.996,40;569.829,50;538.221,70;553.093,30;554.202,60;551.214,10;514.135,50;485.295,00;485.328,10;490.624,40
M;80;Enseñanza privada;44.380,30;47.988,90;48.096,60;48.222,30;45.008,70;48.922,50;48.958,40;48.725,00;46.678,30;49.748,30;49.622,60;49.263,60;45.547,30;48.994,30;49.119,90;50.179,20;46.857,80;51.920,60;52.261,80;52.656,70;49.389,20;52.800,40;52.800,40;53.015,80;51.256,40;53.805,70;53.787,80;54.847,00;52.979,90;55.242,00;55.242,00;55.726,70;53.680,10;56.480,80;55.331,80;54.541,80;52.800,40;54.990,60;54.505,90;55.098,40;53.285,10;56.911,60;58.814,70;60.825,40;58.707,00;64.075,00;65.888,20;65.170,10;62.189,90;65.367,60;65.457,40;66.211,40;64.900,80;69.101,90;69.784,10;70.250,90;68.258,10;73.320,90;73.841,50;74.559,60;71.974,40;75.744,50;77.073,10;76.714,00;74.092,80;75.259,80;73.662,00;73.177,20;71.381,90;75.870,20;76.193,40;76.552,40;74.990,50;77.288,50;77.611,70;77.719,40;75.943,80;79.007,50;79.691,40;79.802,50;76.636,80;79.043,60;79.780,00;80.240,90
M;80;Enseñanza pública;298.721,60;330.490,00;333.329,10;335.803,50;344.893,80;408.491,30;431.803,20;421.384,50;413.909,10;429.207,20;457.467,90;448.273,40;411.078,70;442.899,10;477.523,90;453.960,30;429.050,90;479.642,40;476.482,10;474.954,00;448.724,90;475.292,60;498.812,80;501.521,70;485.789,40;497.996,70;458.883,10;464.708,90;466.106,80;477.749,70;463.936,20;468.850,40;463.510,80;471.637,40;471.637,40;470.039,80;463.554,20;472.158,30;487.439,10;498.543,70;488.003,40;468.503,10;469.058,70;486.267,00;472.757,40;477.315,60;475.613,80;476.994,30;465.976,50;481.022,90;490.182,70;495.331,20;481.960,60;494.567,20;490.755,70;496.824,60;484.513,20;497.397,60;497.918,60;499.455,30;481.448,30;489.054,00;505.454,80;503.544,70;479.642,40;454.029,80;421.966,20;404.028,70;404.410,70;444.757,10;478.088,30;498.222,40;485.294,60;501.539,10;511.384,70;492.110,10;462.277,90;474.085,80;474.511,20;471.411,60;437.498,80;406.251,30;405.548,10;410.383,40
N;N;Servicios sociales y de salud;182.080,10;187.378,10;189.277,30;194.090,40;196.709,60;200.742,30;208.076,00;220.229,50;219.462,80;219.442,00;222.133,50;223.940,20;229.763,40;229.987,80;231.645,40;230.768,80;227.618,30;226.716,90;226.888,40;233.669,80;236.970,00;240.184,60;242.322,60;253.333,20;253.552,40;250.524,70;254.613,90;259.768,40;252.877,30;255.822,60;257.900,70;261.790,00;260.210,20;263.215,50;261.841,80;267.891,50;268.122,00;266.553,50;273.783,80;275.979,00;287.287,00;288.057,90;287.451,40;289.707,00;292.385,40;291.988,00;292.978,20;294.642,90;298.274,10;299.113,00;299.850,90;302.810,40;307.449,20;310.705,30;308.467,20;308.654,00;311.558,70;312.611,90;313.284,90;313.287,40;315.228,50;311.704,50;312.942,30;314.795,60;316.622,30;318.294,30;313.476,90;311.899,50;314.680,20;314.826,50;313.254,60;313.660,50;310.467,40;311.906,70;312.296,80;312.369,40;309.051,30;309.967,40;313.713,40;310.106,00;307.343,50;304.345,30;306.197,30;303.969,30
N;85;Salud privada;111.480,80;113.426,90;114.191,40;116.693,50;116.346,00;119.056,50;121.419,60;122.601,10;121.558,60;120.377,10;121.975,60;122.392,60;126.284,70;126.701,70;127.188,20;124.547,20;122.323,10;120.516,10;121.489,10;124.616,70;127.188,20;130.454,80;133.165,40;136.988,00;138.586,50;140.810,60;141.922,60;148.872,80;138.447,50;138.030,50;140.046,10;142.061,60;143.729,70;144.007,70;145.397,70;149.984,80;149.845,80;149.776,30;154.919,40;154.085,40;164.232,70;165.831,20;166.317,70;168.750,30;170.835,40;170.765,80;172.781,40;174.518,90;176.812,50;178.619,50;180.148,60;182.233,60;183.067,70;183.971,20;183.971,20;183.554,20;187.307,30;189.739,80;190.782,40;190.087,30;192.241,90;189.670,30;192.589,40;193.979,40;196.134,00;198.149,50;193.909,90;192.519,90;192.172,40;191.407,90;187.863,30;186.681,80;182.650,70;183.345,70;184.318,70;185.291,70;180.831,70;181.775,40;185.356,40;181.858,00;179.269,50;177.148,80;178.792,40;175.983,40
N;85;Salud pública;70.599,30;73.951,20;75.085,90;77.396,90;80.363,70;81.685,70;86.656,40;97.628,30;97.904,20;99.064,90;100.157,90;101.547,60;103.478,60;103.286,10;104.457,20;106.221,60;105.295,20;106.200,80;105.399,30;109.053,10;109.781,80;109.729,70;109.157,20;116.345,20;114.965,90;109.714,10;112.691,30;110.895,60;114.429,80;117.792,10;117.854,60;119.728,30;116.480,50;119.207,90;116.444,10;117.906,60;118.276,20;116.777,20;118.864,30;121.893,60;123.054,30;122.226,70;121.133,70;120.956,70;121.550,10;121.222,20;120.196,80;120.123,90;121.461,60;120.493,50;119.702,30;120.576,70;124.381,50;126.734,10;124.496,00;125.099,80;124.251,40;122.872,10;122.502,60;123.200,00;122.986,60;122.034,10;120.352,90;120.816,20;120.488,30;120.144,70;119.567,00;119.379,60;122.507,80;123.418,60;125.391,30;126.978,80;127.816,80;128.561,10;127.978,10;127.077,70;128.219,60;128.192,00;128.357,10;128.248,00;128.074,00;127.196,40;127.404,90;127.985,90
O;O;Servicios comunitarios, sociales y personales;118.918,70;117.924,00;122.208,60;127.644,10;130.808,10;135.854,30;124.343,80;130.568,10;129.266,90;131.485,80;134.367,50;141.818,50;139.070,20;144.075,10;143.556,70;149.095,20;149.927,80;146.381,90;146.030,80;154.255,70;150.647,00;151.306,70;153.595,20;164.447,80;169.518,50;161.937,60;158.869,50;163.717,30;166.175,60;172.047,10;173.476,70;178.641,50;181.376,30;179.733,10;180.505,10;188.255,60;187.163,30;182.880,80;180.164,80;188.052,00;186.598,60;175.599,30;173.947,30;177.269,20;169.140,30;166.396,70;168.576,10;175.086,10;180.611,80;194.067,80;183.047,10;189.300,90;185.198,50;180.561,40;184.761,40;183.404,10;185.768,60;184.037,70;189.316,80;193.454,80;182.734,00;177.383,70;174.795,40;181.659,20;170.575,00;163.147,40;159.962,20;162.997,90;162.286,10;158.786,10;158.330,20;161.913,40;163.459,50;162.632,90;165.136,20;170.022,40;168.853,80;169.525,70;167.282,70;169.043,20;155.571,70;159.055,50;149.983,70;153.966,50
O;90;Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares;18.861,00;14.866,90;16.198,30;15.976,40;18.195,40;16.864,00;2.662,70;2.440,80;2.440,80;2.662,70;2.662,70;2.662,70;2.218,90;1.775,20;1.775,20;3.328,40;4.216,00;1.997,10;2.218,90;2.218,90;1.997,10;1.553,30;1.331,40;1.553,30;1.997,10;2.662,70;2.440,80;2.440,80;3.106,50;3.994,10;3.772,20;3.994,10;3.772,20;3.772,20;3.772,20;3.772,20;3.772,20;3.106,50;3.550,30;3.550,30;3.106,50;3.106,50;3.106,50;2.884,60;2.884,60;3.106,50;2.884,60;2.884,60;2.884,60;2.884,60;3.328,40;3.106,50;3.106,50;2.884,60;3.328,40;3.106,50;2.440,80;3.106,50;2.662,70;2.662,70;2.884,60;2.884,60;2.884,60;5.769,30;3.550,30;2.884,60;3.106,50;3.328,40;3.106,50;3.106,50;5.103,60;5.547,40;6.656,80;6.213,00;5.769,30;6.434,90;6.656,80;7.322,50;6.398,60;6.656,80;8.908,40;10.506,20;8.958,10;8.875,80
O;91;Servicios de asociaciones;6.867,70;7.564,80;6.671,50;8.034,70;7.492,50;7.838,50;7.234,30;8.551,10;8.158,60;7.786,90;7.704,20;9.139,70;8.422,00;8.933,20;8.437,50;9.547,70;8.690,50;9.356,60;8.318,70;9.795,50;8.798,90;10.487,50;9.098,40;10.590,70;9.098,40;10.833,40;9.351,50;10.492,60;9.232,70;10.750,80;9.780,00;10.322,20;10.188,00;9.718,10;9.449,60;10.978,00;9.935,00;10.379,00;9.372,10;11.034,80;9.950,40;10.523,60;9.465,10;11.339,50;10.399,70;11.184,60;11.344,60;11.411,80;11.478,90;11.324,00;11.478,90;11.546,00;11.509,90;11.386,00;11.540,90;11.675,10;11.122,60;11.324,00;10.048,60;11.380,80;10.311,90;10.926,40;9.795,50;11.132,90;10.177,60;10.601,10;9.532,20;10.947,00;10.146,70;10.642,40;9.940,10;11.380,80;10.562,60;11.274,70;10.387,20;11.651,40;10.624,50;11.217,90;10.327,70;11.591,60;10.588,70;11.095,70;10.075,50;10.205,20
O;92;Servicios culturales y deportivos;78.239,30;79.838,00;82.336,10;85.633,50;84.834,10;88.931,00;91.229,20;95.625,80;95.625,80;98.023,90;101.721,00;106.417,40;104.918,50;109.914,70;110.214,40;113.411,90;113.012,30;110.814,00;111.513,40;118.408,10;116.809,30;117.308,90;122.205,10;130.698,50;136.993,60;126.601,70;125.002,90;127.800,80;129.299,60;129.599,40;130.198,90;133.896,00;136.693,90;141.090,50;142.189,60;147.385,60;146.486,30;142.689,20;139.891,40;146.086,60;145.487,00;134.295,70;129.099,80;130.798,40;123.404,20;119.507,20;120.106,70;126.901,50;131.597,80;144.387,90;135.494,80;140.291,10;136.693,90;132.197,40;135.095,10;133.796,10;136.294,20;133.696,20;142.189,60;145.786,80;136.294,20;130.798,40;129.399,50;133.096,70;125.802,30;119.906,90;118.008,40;119.407,30;119.307,40;115.810,10;114.411,20;116.109,80;116.941,70;115.934,50;117.344,60;119.862,80;119.762,00;119.963,50;119.067,50;119.862,80;105.697,00;108.728,20;103.093,10;109.147,50
O;93;Servicios n.c.p.;14.950,70;15.654,30;17.002,80;17.999,50;20.286,10;22.220,90;23.217,60;23.950,40;23.041,70;23.012,40;22.279,50;23.598,70;23.510,70;23.452,10;23.129,60;22.807,20;24.009,10;24.214,30;23.979,80;23.833,20;23.041,70;21.957,00;20.960,30;21.605,20;21.429,30;21.839,80;22.074,30;22.983,00;24.536,70;27.702,80;29.725,50;30.429,10;30.722,20;25.152,40;25.093,70;26.119,80;26.969,90;26.706,10;27.351,00;27.380,30;28.054,60;27.673,50;32.275,90;32.246,60;32.451,80;32.598,40;34.240,00;33.888,30;34.650,50;35.471,30;32.745,00;34.357,30;33.888,30;34.093,50;34.797,00;34.826,30;35.911,00;35.911,00;34.415,90;33.624,40;33.243,30;32.774,30;32.715,70;31.660,30;31.044,70;29.754,80;29.315,10;29.315,10;29.725,50;29.227,20;28.875,40;28.875,40;29.298,30;29.210,70;31.635,20;32.073,30;31.810,40;31.021,80;31.488,90;30.932,00;30.377,50;28.725,30;27.857,10;25.737,90
P;P;Servicio doméstico;46.875,30;49.169,00;48.630,10;50.696,20;52.604,50;52.082,10;52.463,10;54.153,40;56.262,30;55.382,50;57.602,30;61.068,30;57.942,00;51.271,00;51.742,60;52.213,80;58.690,00;51.649,90;66.818,00;72.330,20;71.274,50;64.874,90;63.858,90;72.369,20;83.094,80;68.177,20;67.877,00;77.356,30;77.801,10;68.059,60;70.067,50;72.869,70;82.913,20;83.170,80;78.725,60;66.404,30;89.044,30;82.124,80;68.917,30;70.016,50;65.205,90;54.539,10;82.390,50;76.445,60;61.996,90;60.927,20;59.856,20;58.785,10;57.714,00;56.642,80;83.377,60;84.967,20;65.684,40;57.653,30;63.172,90;79.808,30;75.925,60;66.706,80;72.013,50;86.113,60;77.816,40;77.556,50;67.067,30;81.622,80;84.950,60;34.334,70;46.892,10;61.351,50;53.360,40;65.398,00;66.163,40;69.525,60;62.819,00;58.862,80;61.694,40;67.439,80;52.764,10;51.794,90;65.555,90;78.074,90;66.596,10;56.072,60;69.667,40;72.796,40
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Datos proviosorios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
